,Name Romaji,Name Native,Name English,Synonyms,Format,Chapter Count,Volume Count,Status,Start Date,Start Year,End Date,Average Score,Mean Score,Popularity,Favorites,Source,Genre_One,Genre_Two,Genre_Three,Tag_One,Tag_Two,Tag_Three,Rating 10,Rating 20,Rating 30,Rating 40,Rating 50,Rating 60,Rating 70,Rating 80,Rating 90,Rating 100,Rating Rank,Rating Number,Popularity Rank,Popularity Number,Related 1 Type,Related 2 Type,Has Anime,Anime Release Date,Name Word Count,Link
0,Bungou Stray Dogs: Dazai Osamu to Kuro no Jidai,文豪ストレイドッグス 太宰治と黒の時代,Bungo Stray Dogs: Osamu Dazai and The Dark Era,"Bungo Stray Dogs Novel 2
คณะประพันธกรจรจัด 2 ตอน ดาไซ โอซามุ กับยุคมืด",Light Novel,6,1,Finished,"Aug 1, 2014",2014,,82,90,1436,75,Original,Action,Drama,Mystery,,,,,,,,3,2,22,36,90,122,#36 Highest Rated All Time,36.0,#6 Highest Rated 2014,6.0,TV · Finished,Manga · Releasing,True,2016.0,9,https://anilist.co/manga/123117/Bungou-Stray-Dogs-Dazai-Osamu-to-Kuro-no-Jidai/
0,Re:Zero kara Hajimeru Isekai Seikatsu Ex,Re:ゼロから始める異世界生活Ex,Re:ZERO -Starting Life in Another World- Ex,"Re: Life in a different world from zero Ex
Re:Zero รีเซทชีวิต ฝ่าวิกฤตต่างโลก Ex",Light Novel,,,Releasing,"Jun 25, 2015",2015,,75,83,1437,39,Original,Action,Drama,Fantasy,War,Magic,Witch,2,5,1,2,6,9,21,49,71,65,#14 Highest Rated 2015,14.0,#20 Most Popular 2015,20.0,Manga · Finished,Light Novel · Releasing,False,,6,https://anilist.co/manga/87262/ReZero-kara-Hajimeru-Isekai-Seikatsu-Ex/
0,Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,新説 狼と香辛料 狼と羊皮紙,Wolf & Parchment: New Theory Spice & Wolf,,Light Novel,,,Releasing,"Sep 10, 2016",2016,,69,83,1428,34,Original,Adventure,Fantasy,Supernatural,,,,1,,1,,2,6,13,25,32,23,#20 Highest Rated 2016,20.0,#10 Most Popular 2016,10.0,Manga · Releasing,Light Novel · Releasing,False,,7,https://anilist.co/manga/100685/Shinsetsu-Ookami-to-Koushinryou-Ookami-to-Youhishi/
0,Jujutsu Kaisen: Iku Natsu to Kaeru Aki,呪術廻戦 逝く夏と還る秋,"Jujutsu Kaisen: Summer of Ashes, Autumn of Dust","Jujutsu Kaisen: The Passing Summer and The Returning Autumn
มหาเวทย์ผนึกมาร: คิมหันต์ผันผ่าน สารทหวนคืน
Jujutsu Kaisen LN - Odchodzące lato, powracająca jesień",Light Novel,5,1,Finished,"May 1, 2019",2019,,67,78,1417,19,Original,Action,Slice of Life,Supernatural,,,,3,,1,,7,8,24,34,27,27,#12 Highest Rated 2019,12.0,#8 Most Popular 2019,8.0,Manga · Releasing,,False,,7,https://anilist.co/manga/117042/Jujutsu-Kaisen-Iku-Natsu-to-Kaeru-Aki/
0,Maoyuu Maou Yuusha,まおゆう魔王勇者,,"Maoyu Maou Yusha
Maoyu Maou Yuusha
Archenemy and Hero
Maoyu",Light Novel,63,5,Finished,"Dec 29, 2010",2010,"Jan 21, 2012",63,74,1417,12,Original,Action,Adventure,Fantasy,,,,3,,5,1,4,11,17,25,22,13,#16 Highest Rated 2010,16.0,#8 Most Popular 2010,8.0,TV · Finished,Manga · Finished,True,2013.0,3,https://anilist.co/manga/58125/Maoyuu-Maou-Yuusha/
0,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,下ネタという概念が存在しない退屈な世界,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist,Shimoseka,Light Novel,64,11,Finished,"Jul 18, 2012",2012,"Feb 18, 2016",62,72,1413,21,Original,Comedy,Ecchi,,,,,2,,1,12,5,11,18,24,10,22,#28 Highest Rated 2012,28.0,#13 Most Popular 2012,13.0,TV · Finished,Manga · Finished,True,2015.0,10,https://anilist.co/manga/86319/Shimoneta-to-Iu-Gainen-ga-Sonzai-Shinai-Taikutsu-na-Sekai/
0,Kusuriya no Hitorigoto,薬屋のひとりごと,The Apothecary Diaries,"สืบคดีปริศนา หมอยาตำรับโคมแดง
Dược sư tự sự
Les Carnets de l'Apothicaire",Light Novel,,,Releasing,"Aug 29, 2014",2014,,74,83,1413,66,Original,Drama,Mystery,,Female Protagonist,Historical,Medicine,1,,1,1,5,6,17,49,75,25,#13 Highest Rated 2014,13.0,#16 Most Popular 2014,16.0,Manga · Releasing,Manga · Releasing,False,,3,https://anilist.co/manga/99026/Kusuriya-no-Hitorigoto/
0,Kenja no Mago,賢者の孫,,"Philosopher's Grandson
Magi's Grandson
หลานจอมปราชญ์
Wise Man's Grandchild",Light Novel,,17,Finished,"Jul 30, 2015",2015,"Nov 29, 2022",65,71,1412,25,Original,Action,Comedy,Ecchi,,,,4,2,4,12,17,25,43,47,32,29,#21 Most Popular 2015,21.0,,,TV · Finished,Manga · Releasing,True,2019.0,3,https://anilist.co/manga/86762/Kenja-no-Mago/
0,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",私、能力は平均値でって言ったよね！,Didn't I Say to Make My Abilities Average in the Next Life?!,"I Said Make My Abilities Average!
Noukin
ก็บอกว่าขอแค่ค่าเฉลี่ยไงล่ะคะ!",Light Novel,,,Releasing,"May 14, 2016",2016,,71,76,1396,68,Original,Action,Adventure,Comedy,Isekai,Yuri,Female Protagonist,2,3,2,7,20,21,56,84,65,36,#15 Highest Rated 2016,15.0,#11 Most Popular 2016,11.0,Manga · Hiatus,TV · Finished,True,2019.0,9,https://anilist.co/manga/99102/Watashi-Nouryoku-wa-Heikinchi-de-tte-Itta-yo-ne/
0,BORUTO: NARUTO THE MOVIE,BORUTO -NARUTO THE MOVIE-,,,Light Novel,7,1,Finished,"Aug 10, 2015",2015,,68,71,1396,38,Anime,Action,Comedy,,,,,10,2,10,12,31,56,110,87,66,57,#22 Most Popular 2015,22.0,,,Movie · Finished,Manga · Releasing,True,2015.0,4,https://anilist.co/manga/95781/BORUTO-NARUTO-THE-MOVIE/
